Country,Clicks,Impressions,CTR,Position
India,268,5531,4.85%,6.28
Singapore,1,1,100%,16
United States,0,86,0%,12.29
Germany,0,6,0%,7
Netherlands,0,5,0%,3.6
United Kingdom,0,5,0%,5.2
Japan,0,4,0%,5.75
United Arab Emirates,0,3,0%,22.33
South Korea,0,2,0%,1.5
Taiwan,0,2,0%,2
Brazil,0,2,0%,8
China,0,2,0%,9.5
Bangladesh,0,1,0%,1
Myanmar (Burma),0,1,0%,2
Malaysia,0,1,0%,3
France,0,1,0%,4
Philippines,0,1,0%,4
Portugal,0,1,0%,4
Kuwait,0,1,0%,5
Indonesia,0,1,0%,7
Spain,0,1,0%,8
New Zealand,0,1,0%,8
Oman,0,1,0%,8
Saudi Arabia,0,1,0%,8
Vietnam,0,1,0%,8
Morocco,0,1,0%,9
Argentina,0,1,0%,10
Italy,0,1,0%,10
Nepal,0,1,0%,10
Russia,0,1,0%,10
Trinidad & Tobago,0,1,0%,10
Slovenia,0,1,0%,11
Algeria,0,1,0%,13
Egypt,0,1,0%,13